SR_NO,AGE,TUTION_FEE,BOOKS_STAT_UNI,TRANSPORT,PRIVATE_COACHING,OTHER_EXPENDITURE,TOTAL_EXPENDITURE,PLACE_HOSTEL,SRL_NO,ELE_NO,BLK,ROUND,ID_KEY
6,17,3000,500,6000,,,9500,,6,1,6,71,974049
1,,,,,,,,,1,1,6,71,1012963
4,,,,,,,,,4,1,6,71,965454
2,,,,,,,,,2,1,6,71,965454
1,,,,,,,,,1,1,6,71,965454
3,,,,,,,,,3,1,6,71,965454
5,18,4500,2000,3600,0,2000,12100,,5,1,6,71,965454
4,14,48000,4000,12000,24000,6000,94000,,4,1,6,71,965455
2,,,,,,,,,2,1,6,71,965455
1,,,,,,,,,1,1,6,71,965455
3,,,,,,,,,3,1,6,71,965455
5,,,,,,,,,5,1,6,71,965455
2,,,,,,,,,2,1,6,71,965456
1,,,,,,,,,1,1,6,71,965456
3,,,,,,,,,3,1,6,71,965456
4,,,,,,,,,4,1,6,71,965457
2,,,,,,,,,2,1,6,71,965457
1,,,,,,,,,1,1,6,71,965457
3,,,,,,,,,3,1,6,71,965457
5,,,,,,,,,5,1,6,71,965457
4,9,12000,3500,7200,10000,500,,33,4,1,6,71,965458
2,,,,,,,,,2,1,6,71,965458
1,,,,,,,,,1,1,6,71,965458
3,20,4000,2000,1500,,3500,11000,,3,1,6,71,965458
2,18,2500,1200,200,,200,4100,,2,1,6,71,965459
1,,,,,,,,,1,1,6,71,965459
2,,,,,,,,,2,1,6,71,965460
1,,,,,,,,,1,1,6,71,965460
3,11,20000,3500,10000,12000,2000,47500,,3,1,6,71,965460
4,7,22000,2000,6000,,1000,31000,,4,1,6,71,965461
2,,,,,,,,,2,1,6,71,965461
1,,,,,,,,,1,1,6,71,965461
3,,,,,,,,,3,1,6,71,965461
5,,,,,,,,,5,1,6,71,965461
1,,,,,,,,,1,1,6,71,965463
4,20,15000,3000,500,30000,3000,51500,,4,1,6,71,965464
2,,,,,,,,,2,1,6,71,965464
1,,,,,,,,,1,1,6,71,965464
3,22,50000,8000,1000,20000,5000,84000,,3,1,6,71,965464
4,17,15000,1700,,2000,3000,39700,,4,1,6,71,965465
2,,,,,,,,,2,1,6,71,965465
1,,,,,,,,,1,1,6,71,965465
3,22,33000,4000,1200,,2000,40200,,3,1,6,71,965465
2,,,,,,,,,2,1,6,71,965466
1,24,3500,1500,,,500,5500,,1,1,6,71,965466
2,,,,,,,,,2,1,6,71,965467
1,,,,,,,,,1,1,6,71,965467
3,9,6000,2000,3600,6000,2000,19600,,3,1,6,71,965467
4,,,,,,,,,4,1,6,71,965468
2,,,,,,,,,2,1,6,71,965468
6,,,,,,,,,6,1,6,71,965468
1,,,,,,,,,1,1,6,71,965468
3,,,,,,,,,3,1,6,71,965468
5,,,,,,,,,5,1,6,71,965468
2,,,,,,,,,2,1,6,71,965469
1,,,,,,,,,1,1,6,71,965469
3,21,7000,3000,6000,0,5000,84000,,3,1,6,71,965469
4,18,35000,3000,5000,2200,2000,67000,,4,1,6,71,965470
8,15,3300,1000,0,0,500,4800,,8,1,6,71,965470
2,,,,,,,,,2,1,6,71,965470
6,,,,,,,,,6,1,6,71,965470
1,,,,,,,,,1,1,6,71,965470
3,,,,,,,,,3,1,6,71,965470
9,13,3300,1000,0,0,500,4800,,9,1,6,71,965470
5,,,,,,,,,5,1,6,71,965470
7,,,,,,,,,7,1,6,71,965470
4,,,,,,,,,4,1,6,71,965471
2,,,,,,,,,2,1,6,71,965471
1,,,,,,,,,1,1,6,71,965471
3,9,5500,1000,0,4500,1000,12000,,3,1,6,71,965471
5,,,,,,,,,5,1,6,71,965471
2,,,,,,,,,2,1,6,71,965472
1,,,,,,,,,1,1,6,71,965472
3,6,6000,2000,,,,8000,,3,1,6,71,965472
4,8,15500,2000,,,1000,18500,,4,1,6,71,965473
2,,,,,,,,,2,1,6,71,965473
1,,,,,,,,,1,1,6,71,965473
3,13,15500,2000,,,500,18000,,3,1,6,71,965473
4,20,4000,1500,5000,8000,1000,19500,,4,1,6,71,965474
2,,,,,,,,,2,1,6,71,965474
1,,,,,,,,,1,1,6,71,965474
3,22,3000,,,,,3000,,3,1,6,71,965474
5,19,4500,1000,1500,,1500,8500,,5,1,6,71,965474
4,,,,,,,,,4,1,6,71,965475
2,,,,,,,,,2,1,6,71,965475
1,,,,,,,,,1,1,6,71,965475
3,,,,,,,,,3,1,6,71,965475
2,,,,,,,,,2,1,6,71,965476
1,,,,,,,,,1,1,6,71,965476
2,25,7000,1000,250,,,8250,,2,1,6,71,965477
1,,,,,,,,,1,1,6,71,965477
4,20,10000,2000,,,2000,14800,,4,1,6,71,965478
2,,,,,,,,,2,1,6,71,965478
1,,,,,,,,,1,1,6,71,965478
3,,,,,,,,,3,1,6,71,965478
5,12,5000,3000,,,1500,9500,,5,1,6,71,965478
2,,,,,,,,,2,1,6,71,965479
1,,,,,,,,,1,1,6,71,965479
3,9,4500,2500,,12000,2000,21000,,3,1,6,71,965479
2,,,,,,,,,2,1,6,71,965481
1,,,,,,,,,1,1,6,71,965481
3,10,4500,2000,,,4000,10500,,3,1,6,71,965481
2,,,,,,,,,2,1,6,71,965482
1,,,,,,,,,1,1,6,71,965482
4,,,,,,,,,4,1,6,71,965483
2,,,,,,,,,2,1,6,71,965483
1,,,,,,,,,1,1,6,71,965483
3,,,,,,,,,3,1,6,71,965483
2,,,,,,,,,2,1,6,71,965484
1,,,,,,,,,1,1,6,71,965484
3,20,110000,12000,,2000,4000,128000,,3,1,6,71,965484
4,14,2000,2500,,3800,2000,10300,,4,1,6,71,965485
2,,,,,,,,,2,1,6,71,965485
1,,,,,,,,,1,1,6,71,965485
3,18,110000,12000,,12000,15000,149000,28,3,1,6,71,965485
2,18,5000,2100,,,2000,9100,,2,1,6,71,965486
1,,,,,,,,,1,1,6,71,965486
3,16,4250,3200,,,1200,8650,,3,1,6,71,965486
4,13,180,2000,,6000,1500,9680,,4,1,6,71,965487
2,,,,,,,,,2,1,6,71,965487
1,,,,,,,,,1,1,6,71,965487
3,15,150,2800,,30000,2500,35450,,3,1,6,71,965487
5,8,5500,1500,,1200,1000,9200,,5,1,6,71,965487
4,14,,4000,3000,,3000,10000,,4,1,6,71,965498
2,,,,,,,,,2,1,6,71,965498
1,,,,,,,,,1,1,6,71,965498
3,15,,5000,3000,,3000,11000,,3,1,6,71,965498
4,,,,,,,,,4,1,6,71,965499
2,,,,,,,,,2,1,6,71,965499
1,,,,,,,,,1,1,6,71,965499
3,8,,,3000,,2000,5000,,3,1,6,71,965499
4,10,,,3500,,1000,4500,,4,1,6,71,965500
2,,,,,,,,,2,1,6,71,965500
1,,,,,,,,,1,1,6,71,965500
3,12,,,3500,,2000,5500,,3,1,6,71,965500
5,8,,,3500,,1000,4500,,5,1,6,71,965500
4,12,,4000,3500,,3000,10500,,4,1,6,71,965501
2,,,,,,,,,2,1,6,71,965501
1,,,,,,,,,1,1,6,71,965501
3,14,,4500,3500,,3000,11000,,3,1,6,71,965501
4,,,,,,,,,4,1,6,71,965502
2,,,,,,,,,2,1,6,71,965502
1,,,,,,,,,1,1,6,71,965502
3,,,,,,,,,3,1,6,71,965502
2,,,,,,,,,2,1,6,71,965503
1,,,,,,,,,1,1,6,71,965503
3,,,,,,,,,3,1,6,71,965503
4,23,16000,8000,2000,,1000,27000,,4,1,6,71,965494
2,,,,,,,,,2,1,6,71,965494
1,,,,,,,,,1,1,6,71,965494
3,,,,,,,,,3,1,6,71,965494
5,,,,,,,,,5,1,6,71,965494
4,16,2500,6000,,25000,,33500,,4,1,6,71,965495
2,,,,,,,,,2,1,6,71,965495
1,,,,,,,,,1,1,6,71,965495
3,19,90000,7000,3000,20000,,120000,,3,1,6,71,965495
4,,,,,,,,,4,1,6,71,965496
2,,,,,,,,,2,1,6,71,965496
6,,,,,,,,,6,1,6,71,965496
1,,,,,,,,,1,1,6,71,965496
3,,,,,,,,,3,1,6,71,965496
5,7,100,250,,,100,450,,5,1,6,71,965496
7,,,,,,,,,7,1,6,71,965496
4,,,,,,,,,4,1,6,71,965504
2,,,,,,,,,2,1,6,71,965504
6,14,6500,2500,2500,,2000,13500,,6,1,6,71,965504
1,,,,,,,,,1,1,6,71,965504
3,,,,,,,,,3,1,6,71,965504
5,18,15000,5500,3500,,4000,28000,,5,1,6,71,965504
4,,,,,,,,,4,1,6,71,965505
2,,,,,,,,,2,1,6,71,965505
1,,,,,,,,,1,1,6,71,965505
3,,,,,,,,,3,1,6,71,965505
5,13,,,,1200,2000,3200,,5,1,6,71,965505
2,,,,,,,,,2,1,6,71,965506
1,,,,,,,,,1,1,6,71,965506
3,14,,,,,3500,3500,,3,1,6,71,965506
2,,,,,,,,,2,1,6,71,965507
1,,,,,,,,,1,1,6,71,965507
3,10,,,,,2500,2500,,3,1,6,71,965507
4,7,18000,4500,2500,1000,0,26000,0,4,1,6,71,965508
2,,,,,,,,,2,1,6,71,965508
1,,,,,,,,,1,1,6,71,965508
3,,,,,,,,,3,1,6,71,965508
5,,,,,,,,,5,1,6,71,965508
4,7,,2500,,0,0,2500,,4,1,6,71,965509
2,,,,,,,,,2,1,6,71,965509
1,,,,,,,,,1,1,6,71,965509
3,12,,2500,,0,0,2500,,3,1,6,71,965509
4,,,,,,,,,4,1,6,71,965510
2,,,,,,,,,2,1,6,71,965510
6,,,,,,,,,6,1,6,71,965510
1,,,,,,,,,1,1,6,71,965510
3,17,2800,2000,3500,0,1000,9300,,3,1,6,71,965510
5,,,,,,,,,5,1,6,71,965510
4,,,,,,,,,4,1,6,71,965511
2,,,,,,,,,2,1,6,71,965511
6,16,3500,2000,1000,0,1000,7500,,6,1,6,71,965511
1,,,,,,,,,1,1,6,71,965511
3,,,,,,,,,3,1,6,71,965511
5,19,4500,2000,2000,0,1000,9500,,5,1,6,71,965511
7,,,,,,,,,7,1,6,71,965511
4,,,,,,,,,4,1,6,71,965512
2,,,,,,,,,2,1,6,71,965512
1,,,,,,,,,1,1,6,71,965512
3,,,,,,,,,3,1,6,71,965512
4,,,,,,,,,4,1,6,71,965513
2,,,,,,,,,2,1,6,71,965513
6,,,,,,,,,6,1,6,71,965513
1,,,,,,,,,1,1,6,71,965513
3,,,,,,,,,3,1,6,71,965513
5,,,,,,,,,5,1,6,71,965513
7,,,,,,,,,7,1,6,71,965513
4,12,5000,500,800,10000,500,16800,,4,1,6,71,965514
2,20,8000,2500,1000,,1000,12500,,2,1,6,71,965514
1,,,,,,,,,1,1,6,71,965514
3,16,4000,1000,800,30000,500,36300,,3,1,6,71,965514
4,17,14500,2000,500,25000,1000,43000,,4,1,6,71,965515
2,,,,,,,,,2,1,6,71,965515
1,,,,,,,,,1,1,6,71,965515
3,21,8500,10000,1000,35000,1000,135500,,3,1,6,71,965515
5,,,,,,,,,5,1,6,71,965515
2,,,,,,,,,2,1,6,71,965516
1,,,,,,,,,1,1,6,71,965516
3,20,4800,800,500,6000,100,12200,,3,1,6,71,965516
4,,,,,,,,,4,1,6,71,965517
2,,,,,,,,,2,1,6,71,965517
1,,,,,,,,,1,1,6,71,965517
3,10,18800,2400,800,3000,200,25200,,3,1,6,71,965517
2,,,,,,,,,2,1,6,71,965518
1,,,,,,,,,1,1,6,71,965518
3,21,63000,3000,1000,,1000,68000,,3,1,6,71,965518
4,,,,,,,,,4,1,6,71,965520
2,,,,,,,,,2,1,6,71,965520
1,,,,,,,,,1,1,6,71,965520
3,13,4800,1000,600,2400,100,8900,,3,1,6,71,965520
2,,,,,,,,,2,1,6,71,965521
1,,,,,,,,,1,1,6,71,965521
3,10,4000,1000,600,3000,100,8700,,3,1,6,71,965521
4,11,,,,1200,,1200,,4,1,6,71,965522
2,,,,,,,,,2,1,6,71,965522
1,,,,,,,,,1,1,6,71,965522
3,14,,,,1200,,1200,,3,1,6,71,965522
4,,,,,,,,,4,1,6,71,965523
2,,,,,,,,,2,1,6,71,965523
6,,,,,,,,,6,1,6,71,965523
1,,,,,,,,,1,1,6,71,965523
3,8,4500,1000,,,100,5600,,3,1,6,71,965523
5,,,,,,,,,5,1,6,71,965523
4,,,,,,,,,4,1,6,71,965524
2,,,,,,,,,2,1,6,71,965524
1,,,,,,,,,1,1,6,71,965524
3,,,,,,,,,3,1,6,71,965524
2,,,,,,,,,2,1,6,71,965525
1,,,,,,,,,1,1,6,71,965525
4,22,50000,20000,60000,,10000,140000,,4,1,6,71,965526
2,,,,,,,,,2,1,6,71,965526
1,,,,,,,,,1,1,6,71,965526
3,,,,,,,,,3,1,6,71,965526
4,19,72000,3000,10000,,2000,87000,,4,1,6,71,965527
2,,,,,,,,,2,1,6,71,965527
