HSIZE,PR_IND_CD,PR_OCC_CD,HTYPE,REL_CD,SG_CD,DISTANCE_PRM,DISTANCE_UPP_PRM,DISTANCE_SEC,WHE_HH_COMP,WHE_HH_INT,HH_CONS_EXP,SRL_NO,ELE_NO,BLK,ROUND,ID_KEY
6,1118,920,3,1,3,2,2,2,2,2,5000,1,1,3,71,1008733
3,56102,512,2,1,9,1,4,4,2,2,6000,1,1,3,71,1012743
3,1112,920,4,1,1,1,3,3,2,2,3500,1,1,3,71,1012833
6,68100,121,1,1,3,1,1,1,2,1,13850,1,1,3,71,1012918
3,1112,611,1,1,9,1,3,3,1,1,12000,1,1,3,71,1013018
5,1118,920,4,1,3,1,1,1,2,2,3000,1,1,3,71,1000988
5,,,1,1,3,1,1,1,2,2,7000,1,1,3,71,1008735
3,47731,421,2,1,2,1,1,1,2,1,6000,1,1,3,71,1010152
4,49231,832,2,1,2,1,1,1,2,1,15000,1,1,3,71,1010153
7,28261,932,2,1,2,1,1,1,2,2,10000,1,1,3,71,1010154
4,26305,512,2,1,2,1,1,1,2,2,10500,1,1,3,71,1010155
3,84111,315,2,1,2,1,1,1,1,1,15000,1,1,3,71,1010156
9,1611,611,1,1,2,1,1,5,1,1,10000,1,1,3,71,1010305
5,1611,920,4,1,2,1,1,5,2,1,5000,1,1,3,71,1010306
6,1611,611,1,1,2,1,1,5,2,2,4000,1,1,3,71,1010307
5,1611,611,1,1,3,1,1,5,2,1,4000,1,1,3,71,1010308
4,14105,743,2,1,9,2,2,4,2,1,6000,1,1,3,71,1010309
4,1611,920,4,1,9,2,2,4,2,1,4000,1,1,3,71,1010310
12,41003,714,3,2,9,3,3,5,2,2,15000,1,1,3,71,971944
6,1111,611,1,1,9,2,2,3,2,2,5000,1,1,3,71,971564
3,56210,122,2,3,9,1,1,1,2,2,10000,1,1,3,71,978207
4,21001,324,2,1,3,1,1,3,2,1,20000,1,1,3,71,969323
5,1111,611,1,1,1,1,1,1,1,2,10000,1,1,3,71,968350
4,1140,611,1,1,9,1,1,1,1,1,10000,1,1,3,71,970988
4,84119,513,2,1,3,1,1,1,1,1,6000,1,1,3,71,971055
8,63113,122,2,1,9,1,1,1,2,1,30000,1,1,3,71,973953
3,88100,241,1,9,9,1,1,1,1,1,20000,1,1,3,71,974004
2,8107,412,2,1,9,2,2,2,2,2,6000,1,1,3,71,974243
6,1112,611,1,1,9,1,1,1,2,2,3000,1,1,3,71,971693
3,1124,611,1,1,1,1,1,2,2,2,7500,1,1,3,71,1014036
4,49231,915,2,1,9,1,1,3,1,1,15000,1,1,3,71,1000698
4,72200,123,2,1,9,1,1,1,1,1,30000,1,1,3,71,1012607
5,41001,121,1,1,9,1,1,1,1,1,20000,1,1,3,71,1012608
3,41001,121,1,1,9,1,1,1,1,1,20000,1,1,3,71,1012609
5,52109,122,2,1,9,1,1,1,1,1,30000,1,1,3,71,1012610
3,47521,121,1,1,9,1,1,1,1,1,30000,1,1,3,71,1012611
1,47523,121,1,1,9,1,1,1,1,1,12000,1,1,3,71,1012612
2,74909,121,1,1,9,1,1,1,1,1,25000,1,1,3,71,1012613
5,84119,241,2,1,2,1,1,1,1,1,20000,1,1,3,71,1012614
4,84119,241,2,1,2,1,1,1,1,1,20000,1,1,3,71,1012615
3,47212,611,1,1,3,2,2,2,2,12000,,1,1,3,71,1012616
1,,,9,1,9,1,1,1,1,1,8800,1,1,3,71,1012617
1,,,9,1,9,1,1,1,1,1,18500,1,1,3,71,1012618
4,22199,827,2,1,3,1,1,1,2,2,12000,1,1,3,71,1012619
4,22203,522,2,1,3,1,1,1,2,1,13500,1,1,3,71,1012620
5,29109,122,2,1,2,1,1,1,1,1,23500,1,1,3,71,1012621
3,62013,241,2,1,9,1,1,1,2,1,13850,1,1,3,71,1012622
1,24311,112,2,1,3,1,1,1,1,1,7800,1,1,3,71,1012623
1,29209,826,2,1,3,1,1,1,2,1,5500,1,1,3,71,1012624
3,84111,311,2,1,9,1,1,1,1,1,18500,1,1,3,71,1012625
2,1112,611,1,1,9,3,3,4,1,1,8000,1,1,3,71,1012626
4,84119,833,2,1,3,1,2,2,1,1,20000,1,1,3,71,1012627
4,49219,832,1,1,9,1,2,2,2,2,8000,1,1,3,71,1012628
4,49219,832,1,1,2,1,2,2,2,2,11000,1,1,3,71,1012629
4,22191,832,2,1,9,1,2,2,2,2,10000,1,1,3,71,1012630
4,84119,816,2,1,9,1,2,2,2,2,10000,1,1,3,71,1012631
3,10104,522,2,1,9,1,2,2,2,2,9000,1,1,3,71,1012632
3,49219,121,1,1,3,1,2,2,2,1,10000,1,1,3,71,1012633
4,84129,516,2,1,9,1,1,1,1,1,20000,1,1,3,71,1012634
4,41001,122,2,1,3,1,1,1,1,1,20000,1,1,3,71,1012635
4,84119,121,2,4,9,1,1,1,1,1,50000,1,1,3,71,1012646
3,28229,313,2,1,9,1,1,1,1,1,10000,1,1,3,71,1012647
4,65110,341,1,1,2,1,1,1,1,1,15000,1,1,3,71,1012648
4,84119,412,2,1,9,1,1,1,2,1,15000,1,1,3,71,1012649
3,,,9,1,9,1,1,1,1,1,20000,1,1,3,71,1012650
4,28229,721,2,1,9,1,1,1,1,1,15000,1,1,3,71,1012651
3,49223,121,1,1,2,1,1,1,2,2,15000,1,1,3,71,1012652
4,41001,714,3,1,2,1,1,1,2,1,7000,1,1,3,71,1012653
4,41001,714,3,1,2,1,1,1,2,2,5000,1,1,3,71,1012654
4,41001,714,3,1,2,1,1,1,2,1,6000,1,1,3,71,1012655
4,1112,611,1,1,9,1,1,1,2,2,15000,1,1,3,71,1012656
