SR_VILLAGE,ROUND_NO,SCHEDULE_NO,SAMPLE,SECTOR,STATE_REGION,DISTRICT_CD,STRATUM_NO,SUB_STRAT_NO,SUB_ROUND_NO,SUB_SAMPLE_NO,FOD,HG_SB_NO,SSS_NO,SAMPLE_HH_NO,SR_NO_INFORMANT,RESPONSE_CODE,SURVEY_CD,REASON_CD,SRL_NO,ELE_NO,BLK,ROUND,ID_KEY
43589,71,252,2,2,271,21,58,3,1,1,0,1,2,1,2,1,1,,1,1,1,71,1009907
43589,71,252,2,2,271,21,58,3,1,1,0,1,2,2,2,1,1,,1,1,1,71,1009908
43589,71,252,2,2,271,21,58,3,1,1,0,1,3,1,2,1,1,,1,1,1,71,1009909
43589,71,252,2,2,271,21,58,3,1,1,0,2,1,1,3,1,1,,1,1,1,71,1009910
43589,71,252,2,2,271,21,58,3,1,1,0,2,2,1,2,1,1,,1,1,1,71,1009911
43589,71,252,2,2,271,21,58,3,1,1,0,2,2,2,1,1,1,,1,1,1,71,1009912
43589,71,252,2,2,271,21,58,3,1,1,0,2,3,1,1,1,2,2,1,1,1,71,1009913
43579,71,252,2,2,271,21,57,2,1,1,0,1,1,1,2,1,1,,1,1,1,71,1009914
43579,71,252,2,2,271,21,57,2,1,1,0,1,2,1,2,1,1,,1,1,1,71,1009915
43854,71,252,2,2,271,21,60,1,2,2,0,1,3,2,2,1,2,2,1,1,1,71,1009941
43577,71,252,2,2,271,21,57,1,1,1,0,1,1,1,1,1,1,,1,1,1,71,1009942
34471,71,252,2,1,272,31,31,5,1,1,0,2,2,2,6,1,1,,1,1,1,71,1010573
34471,71,252,2,1,272,31,31,5,1,1,0,2,3,1,2,1,1,,1,1,1,71,1010574
43768,71,252,2,2,272,31,31,1,2,2,0,1,2,1,2,1,1,,1,1,1,71,1010614
43768,71,252,2,2,272,31,31,1,2,2,,1,1,1,2,1,2,2,1,1,1,71,1010613
43768,71,252,2,2,272,31,31,1,2,2,0,1,2,2,1,1,1,,1,1,1,71,1010615
43768,71,252,2,2,272,31,31,1,2,2,0,1,3,1,1,1,1,,1,1,1,71,1010616
