SR_NO,REL_HEAD,SEX,AGE,MARTIAL_STATUS_CD,EDUCATION_LVL_CD,ABL_OPR_COMP,ABL_USE_COM_TYP,ABL_USE_INT_SURF,ABL_USE_INT_MAIL,CUR_EDU_STATUS,WHE_RESI_HOSTEL,CUR_EDU_ENROLL_STATUS,SRL_NO,ELE_NO,BLK,ROUND,ID_KEY
1,1,1,45,2,15,2,,,,,,,1,1,4,71,965938
2,2,2,25,2,8,2,,,,2,2,1,2,1,4,71,967365
5,6,1,1,1,1,,,,,,,,5,1,4,71,1013768
3,5,1,21,1,10,2,,,,2,2,1,3,1,4,71,966125
4,5,1,12,1,7,,,,,7,2,7,4,1,4,71,966126
2,2,2,30,2,10,2,,,,,,,2,1,4,71,966126
1,1,1,34,2,10,2,,,,,,,1,1,4,71,966126
3,5,1,16,1,8,2,,,,7,2,8,3,1,4,71,966126
5,5,2,10,1,6,,,,,7,2,6,5,1,4,71,966126
4,5,1,5,1,1,,,,,1,2,1,4,1,4,71,966127
2,2,2,25,2,8,2,,,,2,2,1,2,1,4,71,966127
1,1,1,35,2,7,2,,,,,,,1,1,4,71,966127
3,5,1,10,1,7,,,,,7,2,7,3,1,4,71,966127
4,5,1,17,1,11,2,,,,5,2,11,4,1,4,71,966128
2,2,2,40,2,1,2,,,,,,,2,1,4,71,966128
1,1,1,40,2,11,2,,,,,,,1,1,4,71,966128
3,2,2,35,2,6,2,,,,,,,3,1,4,71,966128
5,5,1,15,1,8,2,,,,7,2,8,5,1,4,71,966128
4,6,1,6,1,6,,,,,7,2,6,4,1,4,71,966129
2,2,2,62,2,7,2,,,,,,,2,1,4,71,966129
1,1,1,64,2,6,2,,,,,,,1,1,4,71,966129
3,4,2,35,3,12,1,1,1,1,,,,3,1,4,71,966129
4,5,1,9,1,6,,,,,7,2,6,4,1,4,71,966130
2,2,2,35,2,6,2,,,,,,,2,1,4,71,966130
1,1,1,38,2,6,2,,,,,,,1,1,4,71,966130
3,5,1,12,1,7,,,,,7,2,7,3,1,4,71,966130
5,5,2,6,1,6,,,,,7,2,6,5,1,4,71,966130
4,5,1,1,1,1,,,,,,,,4,1,4,71,966131
2,2,2,20,2,11,2,,,,7,2,11,2,1,4,71,966131
1,1,1,23,2,10,2,,,,2,2,1,1,1,4,71,966131
3,5,1,1,1,1,,,,,,,,3,1,4,71,966131
5,7,2,70,3,1,2,,,,,,,5,1,4,71,966131
4,5,1,1,1,1,,,,,,,,4,1,4,71,966132
2,2,2,27,2,10,2,,,,2,2,1,2,1,4,71,966132
1,1,1,33,2,11,2,,,,,,,1,1,4,71,966132
3,5,1,4,1,1,,,,,,,,3,1,4,71,966132
4,4,2,30,2,7,2,,,,,,,4,1,4,71,966133
2,2,2,59,2,1,2,,,,,,,2,1,4,71,966133
6,6,2,2,1,1,,,,,,,,6,1,4,71,966133
1,1,1,65,2,6,2,,,,,,,1,1,4,71,966133
3,3,1,32,2,8,2,,,,,,,3,1,4,71,966133
5,6,1,4,1,1,,,,,,,,5,1,4,71,966133
4,4,1,21,2,7,2,,,,2,,1,4,1,4,71,966135
2,2,2,58,2,1,2,,,,,,,2,1,4,71,966135
6,5,2,20,1,7,2,,,,7,2,,6,1,4,71,966135
1,1,1,60,2,1,2,,,,,,,1,1,4,71,966135
3,3,1,24,2,12,2,,,,2,,1,3,1,4,71,966135
5,5,1,22,1,7,2,,,,2,,1,5,1,4,71,966135
4,5,1,23,1,7,2,,,,2,,1,4,1,4,71,966136
2,2,2,55,2,6,2,,,,,,,2,1,4,71,966136
1,1,1,58,2,7,2,,,,,,,1,1,4,71,966136
3,5,1,30,1,7,2,,,,,,,3,1,4,71,966136
5,5,2,20,1,6,2,,,,2,,1,5,1,4,71,966136
4,4,2,30,2,7,2,,,,,,,4,1,4,71,966137
2,2,2,55,2,6,2,,,,,,,2,1,4,71,966137
1,1,1,58,2,7,2,,,,,,,1,1,4,71,966137
3,3,1,32,2,8,2,,,,,,,3,1,4,71,966137
5,6,1,10,1,6,,,,,7,2,,5,1,4,71,966137
4,4,2,24,2,6,2,,,,2,,1,4,1,4,71,966138
2,2,2,54,2,1,2,,,,,,,2,1,4,71,966138
6,6,2,4,1,1,,,,,,,,6,1,4,71,966138
1,1,1,59,2,7,2,,,,,,,1,1,4,71,966138
3,3,1,30,2,7,2,,,,,,,3,1,4,71,966138
5,6,1,6,1,6,,,,,7,2,6,5,1,4,71,966138
4,5,1,21,1,14,1,1,2,2,7,2,,4,1,4,71,966139
2,2,2,54,2,1,2,,,,,,,2,1,4,71,966139
1,1,1,58,2,6,2,,,,,,,1,1,4,71,966139
