,index,Individual_ID,DropoutPrediction,Probability_NoDrop,Probability_Drop,SR_NO,AGE,SCHOOL_ENTRY_AGE,LEV_CURR_ATTEND,COURSE_CD,DURATION_ACADEMY,WH_PRESENT_CLASS,INSTITUTION_CD,INSTITUTION_NATURE_CD,REASON_PRIVATE,MEDIUM_CD,LANGUAGE_CD,TYPE_COURSE_CD,EDUCATION_FREE,FEE_WAIVED,ANNUAL_AMT_WAIVED,REASON_WAIVED,SCHOLARSHIP,ANNUAL_AMT_RECVD,SCHOLARSHIP_TYPE,AGENCY,RECVD_TXT_BOOK_CD,RECVD_STAT_CD,FREE_MID_DAY_MEAL,PROVIDED_AGENCY,TRANSPORT_CD,CONCESSION_RECVD,DIST_RESIDENCE,EDU_INSTIT_CHANGE,PRIV_COACHING,PROPOSE_PRIV_COACHING,SRL_NO,ELE_NO,BLK,ROUND,ID_KEY
4,4,9765038,1.0,0.20834092469759574,0.7916590753024054,8,15.0,6.0,8.0,1.0,10.0,1.0,2.0,1.0,2.0,15.0,29.0,1.0,2.0,3.0,,,2.0,,,,1.0,6.0,1.0,1.0,1.0,,1.0,1.0,2.0,,8,1,5,71,976503
18,19,9765343,1.0,0.04040217758772097,0.9595978224122804,3,7.0,6.0,7.0,1.0,12.0,2.0,2.0,,3.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,1.0,,1.0,1.0,2.0,,3,1,5,71,976534
21,22,9765384,1.0,0.1853930447307033,0.8146069552692949,4,16.0,6.0,10.0,1.0,12.0,2.0,1.0,1.0,,15.0,15.0,1.0,1.0,,,,2.0,,,,6.0,6.0,2.0,,1.0,,2.0,1.0,2.0,,4,1,5,71,976538
22,23,9765383,1.0,0.18402748876425434,0.815972511235744,3,20.0,6.0,14.0,5.0,12.0,2.0,2.0,,5.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,6.0,6.0,2.0,,3.0,2.0,5.0,2.0,2.0,,3,1,5,71,976538
23,24,9765394,1.0,0.003081841001373778,0.9969181589986249,4,20.0,6.0,12.0,6.0,12.0,1.0,2.0,,5.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,2.0,6.0,2.0,,4.0,,2.0,1.0,1.0,9.0,4,1,5,71,976539
24,25,9765393,1.0,0.0027748785700685468,0.9972251214299303,3,22.0,6.0,16.0,13.0,12.0,1.0,2.0,,5.0,2.0,15.0,1.0,2.0,3.0,,,2.0,,,,2.0,6.0,2.0,,4.0,,3.0,1.0,1.0,9.0,3,1,5,71,976539
25,26,9765414,1.0,0.2199949182409663,0.7800050817590334,4,17.0,6.0,10.0,1.0,12.0,2.0,1.0,,,15.0,15.0,1.0,1.0,,,,1.0,700.0,9.0,1.0,1.0,6.0,2.0,,1.0,,1.0,1.0,2.0,,4,1,5,71,976541
26,27,9765424,1.0,0.2413260317560803,0.7586739682439182,4,13.0,6.0,7.0,1.0,12.0,2.0,1.0,,,15.0,29.0,1.0,1.0,,,,1.0,900.0,9.0,1.0,1.0,6.0,1.0,1.0,9.0,,2.0,1.0,2.0,,4,1,5,71,976542
27,28,9765423,1.0,0.024790029067458662,0.9752099709325429,3,11.0,6.0,7.0,1.0,12.0,2.0,1.0,,,15.0,29.0,1.0,1.0,,,,1.0,650.0,9.0,1.0,1.0,6.0,1.0,1.0,4.0,,2.0,1.0,2.0,,3,1,5,71,976542
28,29,9765425,1.0,0.2348943703537433,0.7651056296462551,5,12.0,6.0,7.0,1.0,12.0,2.0,1.0,,,15.0,29.0,1.0,1.0,,,,1.0,650.0,9.0,1.0,1.0,6.0,1.0,1.0,9.0,,2.0,1.0,2.0,,5,1,5,71,976542
